Title,Price,Property Type,Bedrooms,Bathrooms,Area,Location
"Duplex Villa for Sale in Al Qadisiyah, East Riyadh","1,800,000",Villa,4,5,285 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Villa for sale in Al Nafal, North Riyadh","20,000,000",Villa,11,7,"1,500 Sq. M.","Al Nafal, North Riyadh, Riyadh"
"Villa for Sale in Al Nafal, North Riyadh","3,500,000",Villa,7,7,350 Sq. M.,"Al Nafal, North Riyadh, Riyadh"
Villa for sale in Jasmine neighborhood,"3,800,000",Villa,7,6,348 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
"Land for sale in Al Khair, north Riyadh","1,352,400,000",Residential Land,N/A,N/A,735 Sq. M.,"Al Kair District, North Riyadh, Riyadh"
"Floors for sale in Al Arid, North Riyadh","2,500,000",Floor,3,4,600 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Villa for sale in Al Khaleej, East Riyadh","2,750,000",Villa,5,7,317 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
"3 Bedroom Floor For Sale in Al Nafal, Riyadh","2,200,000",Floor,3,3,403 Sq. M.,"Al Nafal, North Riyadh, Riyadh"
"Two Floors Apartment for Sale in Dhahrat Laban, West Riyadh","1,100,000",Apartment,4,4,181 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"3 Room Floor For Sale In Al-Nergas, Riyadh","2,700,000",Floor,3,3,195 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
New villa within the Ministry of Housing project - Bayt Al Zamil,"1,250,000",Villa,5,6,215 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"3 bedroom apartment for sale in Al Janaderiya, area 132 sqm, Riyadh","573,000",Apartment,3,3,"4,399 Sq. M.","Al Janadriyah, East Riyadh, Riyadh"
"Villa for sale in Al Arid, north Riyadh","3,000,000",Villa,6,5,336 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Apartment For Sale in Al Arid, North Riyadh","1,125,000",Apartment,4,4,61 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Villa for sale in Al Murjan, West Riyadh","1,700,000",Villa,5,4,276 Sq. M.,"Al Murjan, East Riyadh, Riyadh"
"Villa for sale in Narjis, North Riyadh","3,400,000",Villa,4,6,250 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Apartment for sale in Al Rimal, East Riyadh","950,000",Apartment,3,4,150 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Floor in East Riyadh，Al Munsiyah 5 bedrooms 1650000 SAR - 87624054,"1,650,000",Floor,5,4,206 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Floor in East Riyadh，Al Qadisiyah 5 bedrooms 1300000 SAR - 87624922,"1,300,000",Floor,5,4,222 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
Apartment in East Riyadh，Al Rimal 4 bedrooms 1400000 SAR - 87625013,"1,400,000",Apartment,4,3,167 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Villa in East Riyadh，Al Rimal 6 bedrooms 1800000 SAR - 87625020,"1,800,000",Villa,6,4,292 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Floor for Sale in Al Yarmuk, East Riyadh","1,300,000",Floor,5,4,177 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
Floor in East Riyadh，Al Munsiyah 4 bedrooms 1500000 SAR - 87624058,"1,500,000",Floor,4,3,141 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Floor in East Riyadh，Al Munsiyah 5 bedrooms 1600000 SAR - 87624056,"1,600,000",Floor,5,4,206 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"3 Bedroom Apartment For Sale in Al Qadisiyah, Riyadh","770,000",Apartment,3,2,"1,578 Sq. M.","Al Qadisiyah, East Riyadh, Riyadh"
"4 bedroom floor for sale in Al Ward, Riyadh","1,980,000",Floor,4,6,"1,288 Sq. M.","Al Wurud, North Riyadh, Riyadh"
"Floor For Sale in Al Arid, Riyadh","1,450,000",Floor,3,3,"1,832 Sq. M.","Al Arid, North Riyadh, Riyadh"
"Ground floor for sale in Al Rimal, East Riyadh","1,170,000",Floor,4,4,233 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for sale in Al Nahdah, East Riyadh","3,050,000",Villa,5,7,390 Sq. M.,"Al Nahdah, East Riyadh, Riyadh"
"Floor for sale in Curtubah, East Riyadh","1,850,000",Floor,4,4,200 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Villa in East Riyadh，Al Yarmuk 5 bedrooms 2350000 SAR - 87610518,"2,350,000",Villa,5,8,250 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
New and furnished luxury apartment for sale in Al Oraide District,"1,650,000",Apartment,3,3,112 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Villa for Sale in Qurtubah, East Riyadh","3,160,000",Villa,5,5,297 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
شفة بثلاث غرف في حي الملقا,"1,750,000",Apartment,3,3,139 Sq. M.,"Al Malqa, North Riyadh, Riyadh"
Two-story modern furnished apartment for sale in Al-Sahafa district in Maghna 46 project,"2,100,000",Apartment,4,3,185 Sq. M.,"Al Sahafah, North Riyadh, Riyadh"
"Land for Sale in Al Qirawan, North Riyadh","9,495,200",Land,N/A,N/A,730 Sq. M.,"Al Qirawan, North Riyadh, Riyadh"
🏡  مشروع بنتهاوس فاخر للبيع بحي العارض,"2,300,000",Apartment,4,1,950 Sq. M.,"Al Arid, North Riyadh, Riyadh"
Apartments for sale in Al-Munsiyah Al-Gharbi neighborhood,"1,200,000",Apartment,3,3,180 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Apartment for sale in Hittin Al-Munah behind the boulevard,"1,200,000",Apartment,4,3,146 Sq. M.,"Hittin, North Riyadh, Riyadh"
Floor in East Riyadh，Al Munsiyah 3 bedrooms 1450000 SAR - 87621945,"1,450,000",Floor,3,4,141 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
Villa in East Riyadh，Qurtubah 7 bedrooms 3700000 SAR - 87623182,"3,700,000",Villa,7,8,343 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Villa in East Riyadh，Al Yarmuk 5 bedrooms 2600000 SAR - 87624845,"2,600,000",Villa,5,6,411 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
Apartment in East Riyadh，Al Nahdah 3 bedrooms 950000 SAR - 87624925,"950,000",Apartment,3,3,120 Sq. M.,"Al Nahdah, East Riyadh, Riyadh"
Apartment in East Riyadh，Al Rimal 5 bedrooms 1400000 SAR - 87625021,"1,400,000",Apartment,5,4,167 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villas for Sale in Al Narjis, North Riyadh","7,800,000",Villa,5,3,400 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"4 Bedroom Apartment For Sale in Badr, Riyadh","550,000",Apartment,4,2,147 Sq. M.,"Badr, South Riyadh, Riyadh"
"3 Bedroom Apartment For Sale in Al Malqa, Riyadh","1,500,000",Apartment,3,1,164 Sq. M.,"Al Malqa, North Riyadh, Riyadh"
"Villa for sale in Arqa, northern Riyadh, Riyadh","6,000,000",Villa,6,10,300 Sq. M.,"Irqah, West Riyadh, Riyadh"
Apartment in West Riyadh，Dhahrat Laban 6 bedrooms 950000 SAR - 87624557,"950,000",Apartment,6,4,200 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"Residential Land for Sale in Al Nasim Al Sharqi, East Riyadh","7,215,000",Residential Land,N/A,N/A,"1,850 Sq. M.","Al Nasim Al Sharqi, East Riyadh, Riyadh"
"Floor for sale in Dirab, West Riyadh","850,000",Floor,5,4,250 Sq. M.,"Dirab, West Riyadh, Riyadh"
Goodness planned land,"311,250,000",Residential Land,N/A,N/A,375 Sq. M.,Riyadh
"Land for sale in Al Kair, North Riyadh","886,754",Residential Land,N/A,N/A,403 Sq. M.,Riyadh
"Land for Sale in Al Malaz, Central Riyadh","31,750,000",Residential Land,N/A,N/A,"3,175 Sq. M.","Al Malaz, Central Riyadh, Riyadh"
شقه للبيع حي الرمال،الرياض,"800,000",Apartment,2,2,139 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for Sale in Al Narjis, North Riyadh","6,500,000",Villa,5,8,560 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Villa for sale in Al Saadah, east of Riyadh","1,050,000",Villa,4,3,193 Sq. M.,"Al Saadah, East Riyadh, Riyadh"
Villa in East Riyadh，Al Rimal 5 bedrooms 2150000 SAR - 87623309,"2,150,000",Villa,5,8,225 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Floor in East Riyadh，Al Qadisiyah 6 bedrooms 1100000 SAR - 87624355,"1,100,000",Floor,6,5,249 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
4 Bedrooms Apartment For Sale Riyadh,"3,750,000",Villa,4,4,238 Sq. M.,"Al Rayyan, East Riyadh, Riyadh"
"2 Bedrooms Floor For Sale in Qurtubah, Riyadh","1,650,000",Floor,2,2,82 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"First Floor for Sale in Al-Qurtubah District, Riyadh","1,950,000",Floor,3,3,186 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"Ground Floor for Sale in Al-Qurtubah District, Riyadh","2,400,000",Floor,3,3,173 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Floor in East Riyadh，Al Murjan 4 bedrooms 970000 SAR - 87621597,"970,000",Floor,4,5,250 Sq. M.,"Al Murjan, East Riyadh, Riyadh"
Floor in East Riyadh，Al Izdihar 3 bedrooms 1600000 SAR - 87621069,"1,600,000",Floor,3,3,74 Sq. M.,"Al Izdihar, East Riyadh, Riyadh"
"Spacious 4 bedroom townhouse for sale in Tawuq, Riyadh","1,050,000",Villa,4,6,900 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
Apartment in West Riyadh，Dhahrat Laban 4 bedrooms 850000 SAR - 87625513,"850,000",Apartment,4,3,134 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
Floor in East Riyadh，Al Munsiyah 3 bedrooms 1350000 SAR - 87624556,"1,350,000",Floor,3,3,196 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"Villa for sale in Narjes, Riyadh","13,500,000",Villa,4,4,501 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
Luxurious villa for sale in Qurtubah neighborhood,"1,800,000",Floor,3,3,383 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Villa townhouse for sale,"1,742,000",Villa,4,3,630 Sq. M.,"Al Malaz, Central Riyadh, Riyadh"
"Villa for sale in  Al Narjis, North Riyadh","3,000,000",Villa,5,8,280 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Apartment for sale in Al Fayha, East Riyadh","1,320,000",Apartment,4,4,212 Sq. M.,"Al Fayha, East Riyadh, Riyadh"
"3 Bedrooms Villa For Sale in Al Saadah, Riyadh","32,000",Villa,3,2,312 Sq. M.,"Al Saadah, East Riyadh, Riyadh"
"Upper floor for sale in Al Safa, East Riyadh","1,450,000",Floor,3,4,188 Sq. M.,"Al Safa, East Riyadh, Riyadh"
"Apartment for Sale in Al Arid, North Riyadh","1,150,000",Apartment,3,2,110 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Apartment for sale in Tuwaiq, west Riyadh",470,Apartment,3,2,114 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
"Residential Land for sale in Dharat Laban, West Riyadh","1,125,000",Residential Land,N/A,N/A,375 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"Land for sale in Al Quds neighborhood, Riyadh","16,008,000",Residential Land,N/A,N/A,"1,000 Sq. M.","Al Quds, East Riyadh, Riyadh"
Land in East Riyadh，Al Khaleej 14400000 SAR - 87625792,"14,400,000",Land,N/A,N/A,"2,400 Sq. M.","Al Khaleej, East Riyadh, Riyadh"
Apartment - Riyadh - Al Janadriyah,"670,000",Apartment,4,3,133 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
"Apartment for sale in Qurtubah, Riyadh","1,150,000",Apartment,3,3,105 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
Apartment in North Riyadh，Al Arid 3 bedrooms 1500000 SAR - 87625418,"1,500,000",Apartment,3,4,133 Sq. M.,"Al Arid, North Riyadh, Riyadh"
Apartment in North Riyadh，Al Malqa 2 bedrooms 1350000 SAR - 87625243,"1,350,000",Apartment,2,3,99 Sq. M.,"Al Malqa, North Riyadh, Riyadh"
Floor in East Riyadh，Al Murjan 3 bedrooms 820000 SAR - 87621609,"820,000",Floor,3,5,178 Sq. M.,"Al Murjan, East Riyadh, Riyadh"
Spacious townhouse in Badr neighborhood,"650,000",Apartment,4,4,149 Sq. M.,"Badr, South Riyadh, Riyadh"
"7 Bedroom Villa For Sale in Al Taawun, Riyadh","3,200,000",Villa,4,3,275 Sq. M.,"Al Taawun, North Riyadh, Riyadh"
"Villas for sale in  Al Quds, East Riyadh","3,099,000",Villa,5,4,301 Sq. M.,"Al Quds, East Riyadh, Riyadh"
Duplex villa for sale in Tuwaiq neighborhood,"1,350,000",Villa,6,5,200 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
Four-story milk townhouse,"1,195,000",Villa,6,5,261 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
Flats for sale in Al Ramal neighborhood,"850,000",Floor,7,5,375 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
Floor in North Riyadh，Al Narjis 3 bedrooms 1600000 SAR - 87621065,"1,600,000",Floor,3,3,116 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
Apartment in North Riyadh，Al Arid 3 bedrooms 1700000 SAR - 87614555,"1,700,000",Apartment,3,3,156 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"Villa for sale in Al Saadah, East Riyadh","1,850,000",Villa,5,4,281 Sq. M.,"Al Saadah, East Riyadh, Riyadh"
Villa for sale in Al Saadah district,"2,199,999",Villa,9,5,312 Sq. M.,"Al Saadah, East Riyadh, Riyadh"
Floor in South Riyadh，Okaz 3 bedrooms 739000 SAR - 87622806,"739,000",Floor,3,4,186 Sq. M.,"Okaz, South Riyadh, Riyadh"
"3 bedroom apartment for sale in Narges, Riyadh - Faisal bin Bandar","1,300,000",Apartment,3,3,108 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
Apartment in East Riyadh，Al Rawdah 3 bedrooms 979000 SAR - 87618124,"979,000",Apartment,3,3,145 Sq. M.,"Al Rawdah, East Riyadh, Riyadh"
Villa in East Riyadh，Al Rimal 5 bedrooms 2150000 SAR - 87623469,"2,150,000",Villa,5,7,225 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Upper Floor for Sale in Al Qadisiyah, East Riyadh","900,000",Floor,4,4,149 Sq. M.,"Al Qadisiyah, East Riyadh, Riyadh"
"Residential  Land for sale in  Al Quds, East Riyadh","9,000,000",Residential Land,N/A,N/A,900 Sq. M.,"Al Quds, East Riyadh, Riyadh"
"Residential  Land For sale in Irqah, West Riyadh","6,300,000",Residential Land,N/A,N/A,807 Sq. M.,"Irqah, West Riyadh, Riyadh"
"Villa For Sale in Al Narjis, Nort Riyadh","3,900,000",Villa,4,4,333 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"6 Bedroom Rest House For Sale in Al Saadah, Riyadh","6,500,000",Rest House,6,3,"1,625 Sq. M.","Al Saadah, East Riyadh, Riyadh"
"Ground floor for sale in Al Maizilah, East Riyadh","1,000,000",Floor,3,4,202 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
"Villa for sale in Al Narjis, north Riyadh","4,500,000",Villa,8,7,375 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"7 Bedroom Villa For Sale in Al Narjes, Riyadh","4,500,000",Villa,7,7,307 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"Apartments for Sale in Al Rayyan, East Riyadh","829,000",Apartment,3,3,207 Sq. M.,"Al Rayyan, East Riyadh, Riyadh"
Villa in West Riyadh，Tuwaiq 8 bedrooms 1500000 SAR - 87615802,"1,500,000",Villa,8,8,400 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
Villa in East Riyadh，Al Rimal 5 bedrooms 2150000 SAR - 87623307,"2,150,000",Villa,5,8,225 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"Villa for sale in An Nazim district, Riyadh","1,750,000",Villa,10,6,500 Sq. M.,"Al Nadhim, East Riyadh, Riyadh"
Building for sale in Al Suwaidi Al Gharbi neighborhood,"16,000,000",Building,N/A,N/A,"1,638 Sq. M.","Alawali, West Riyadh, Riyadh"
"Villas for Sale in Al Rawdah, East Riyadh","2,799,000",Villa,4,5,"3,960 Sq. M.","Al Rawdah, East Riyadh, Riyadh"
"Luxury Villa for Sale in Al Rabi, North Riyadh","4,490,000",Villa,6,6,300 Sq. M.,"Al Rabi, North Riyadh, Riyadh"
"Apartment for Sale in Al Narjis, North Riyadh","1,765,000",Apartment,5,4,122 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
Villa in East Riyadh，Al Yarmuk 5 bedrooms 2750000 SAR - 87624844,"2,750,000",Villa,5,8,376 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
Villa in East Riyadh，Qurtubah 7 bedrooms 3500000 SAR - 87624207,"3,500,000",Villa,7,8,357 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"Villa for Sale in Al-Hamra, Al-Maqamati Street","7,300,000",Villa,6,8,897 Sq. M.,"Al Hamra, East Riyadh, Riyadh"
